단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
037270,KR7037270006,YG PLUS,ST,3.0,0,26,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,4415,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,307359,500,20030801,63429,32339705000,12.0,,0,,N,N,Y,1737,148,288,229,19.1,20230930.0,2800,,N,N,N
037560,KR7037560000,LG헬로비전,ST,3.0,0,26,0,N,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,Y,N,,N,N,N,N,N,3410,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,118141,2500,20121109,77446,193617162500,12.0,,0,,N,N,Y,8529,347,361,285,5.99,20230930.0,2640,282,N,N,N
037710,KR7037710001,광주신세계,ST,3.0,0,16,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,30500,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,8091,1000,20020207,7957,7957190000,12.0,,0,,N,N,Y,1849,656,769,569,7.42,20221231.0,2426,577,N,N,N
039130,KR7039130000,하나투어,ST,2.0,0,26,0,N,N,N,8,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,54300,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,66170,500,20111101,16039,8019592500,12.0,,0,,N,Y,Y,2921,229,386,453,33.89,20230930.0,8709,,N,N,N
039490,KR7039490008,키움증권,ST,2.0,0,21,0,N,N,N,6,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,Y,N,N,N,N,92000,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,18464,5000,20090803,26226,131133530000,12.0,,0,,N,Y,Y,52985,5697,5718,4259,18.02,20230630.0,24128,,N,N,N
039570,KR7039570007,HDC랩스,ST,3.0,0,18,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,7620,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,5468,500,20150924,25957,12978800500,12.0,,0,,N,N,Y,4297,53,112,87,4.51,20230930.0,1977,HDC,N,N,N
041650,KR7041650003,상신브레이크,ST,3.0,0,15,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,3560,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,70045,500,20041027,21471,10735725000,12.0,,0,,N,N,Y,4213,189,157,88,5.96,20230930.0,764,,N,N,N
042660,KR7042660001,한화오션,ST,1.0,0,15,0,Y,N,N,2,Y,N,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,Y,N,N,Y,23350,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3875489,5000,20010202,306358,1536794495000,12.0,,0,,N,Y,Y,51774,-1477,-1252,-1260,-9.85,20230930.0,71534,913,N,N,N
042670,KR7042670000,HD현대인프라코어,ST,2.0,0,12,0,Y,N,Y,2,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,Y,N,N,Y,7830,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,1278440,1000,20010202,199603,199603453000,12.0,,0,,N,Y,Y,36780,4043,3696,2746,20.95,20230930.0,15628,IC5,N,N,N
042700,KR7042700005,한미반도체,ST,1.0,0,12,0,Y,N,N,0,N,N,Y,,N,Y,N,Y,N,N,N,N,N,0,N,N,,N,N,N,N,N,59700,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,782130,100,20050722,97339,12716420500,12.0,,0,,N,Y,Y,1068,162,2354,1818,51.17,20230930.0,58111,,N,N,N
