단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
082660,KR7082660002,코스나인,ST,3.0,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,450,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2032181,500,20051005,86620,43310434500,12,,0,,N,N,45,-37,-33,-30,-20,20230630.0,389,,N,N,N
082800,KR7082800004,비보존 제약,ST,3.0,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,3200,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,149831,2500,20051118,48211,120529287500,12,,0,,N,N,484,9,-10,-19,-2,20230930.0,1542,,N,N,N
082850,KR7082850009,우리바이오,ST,3.0,0,1009,1028,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2650,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,741158,500,20050729,48436,24218289000,12,,0,,N,N,9475,215,237,203,12,20230930.0,1283,,N,N,N
082920,KR7082920000,비츠로셀,ST,2.0,1007,1018,1041,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,15030,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,208586,500,20091028,22605,11302800000,12,,0,,N,N,1303,313,426,333,22,20230930.0,3397,,N,N,N
083310,KR7083310003,엘오티베큠,ST,2.0,1007,1018,1040,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,20250,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,275685,500,20051005,17810,8905016500,12,,0,,N,N,3730,532,551,434,25,20230930.0,3606,,N,N,N
083450,KR7083450007,GST,ST,2.0,1007,1018,1040,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,23600,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,42504,500,20060201,9317,4658872500,12,,0,,N,N,1329,158,167,137,14,20230630.0,2198,,N,N,N
083470,KR7083470005,이엠앤아이,ST,3.0,1007,1018,1041,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1633,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,84667,500,20080918,21340,10670164500,12,,0,,N,N,200,-2,6,6,6,20230930.0,348,,N,N,N
083500,KR7083500009,에프엔에스테크,ST,3.0,0,1009,1027,,N,N,,N,,,,,N,,,0,,,N,,,,,N,9270,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,62743,500,20170227,8490,4245361000,12,,0,,N,N,277,2,3,-1,1,20230930.0,787,,N,N,N
083550,KR7083550004,케이엠,ST,3.0,0,1009,1020,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5280,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3472632,500,20051220,11772,5886344500,12,,0,,N,N,941,-6,12,5,1,20230930.0,621,,N,N,N
083640,KR7083640003,인콘,ST,3.0,1007,1018,1038,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,568,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,157558,500,20051227,58035,29017656000,12,,0,,N,N,553,11,39,36,4,20221231.0,329,,N,N,N
083650,KR7083650002,비에이치아이,ST,3.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6950,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,82479,500,20051202,30944,15472187500,12,,0,,N,N,2043,11,-27,-37,-15,20230630.0,2150,,N,N,N
083660,KR7083660001,CSA 코스믹,ST,3.0,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,1119,1,1,N,N,Y,0,N,N,N,0,0,0,100,N,90,17495,200,20060725,61247,12249436200,12,,0,,N,N,226,-39,-42,-42,-995,20230630.0,685,,N,N,N
083790,KR7083790006,CG인바이츠,ST,2.0,1006,0,0,N,N,Y,,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,2660,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,119991,500,20060106,76894,38447091000,12,,0,,N,N,156,-115,-400,-396,-44,20230630.0,2045,,N,N,N
083930,KR7083930008,아바코,ST,2.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,13810,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,44188,500,20051011,15412,7998252500,12,,0,,N,N,790,-42,-18,-16,-2,20230630.0,2128,,N,N,N
084110,KR7084110006,휴온스글로벌,ST,2.0,0,1009,1024,N,N,Y,,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,21900,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,11321,500,20061219,12621,6310746000,12,,0,,N,N,5583,929,971,689,7,20230930.0,2764,,N,N,N
084180,KR7084180009,수성샐바시온,ST,3.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,605,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,397855,500,20051216,111151,55575750000,12,,0,,N,N,185,-15,-151,-149,-73,20230630.0,672,,N,N,N
